table_name,column_name,data_type,is_nullable,column_default,character_max_length,numeric_precision,numeric_scale,column_type,column_key,extra,column_comment,is_primary_key,is_foreign_key,is_unique
Pie_Fac,Codigo_Pieza,varchar,YES,,20.0,,,varchar(20),,,,NO,NO,NO
Pie_Fac,Mes,varchar,YES,,10.0,,,varchar(10),,,,NO,NO,NO
Pie_Fac,Cantidad,decimal,YES,,,37.0,2.0,"decimal(37,2)",,,,NO,NO,NO
Pie_Fac,Total_Fac,decimal,YES,,,37.0,2.0,"decimal(37,2)",,,,NO,NO,NO
Pie_Fac_ML,Codigo_Pieza,varchar,YES,,20.0,,,varchar(20),,,,NO,NO,NO
Pie_Fac_ML,Mes,varchar,YES,,10.0,,,varchar(10),,,,NO,NO,NO
Pie_Fac_ML,Cantidad,decimal,YES,,,37.0,2.0,"decimal(37,2)",,,,NO,NO,NO
Pie_Fac_ML,Coste,decimal,YES,,,37.0,2.0,"decimal(37,2)",,,,NO,NO,NO
Pie_Fac_ML,PVP,decimal,YES,,,37.0,2.0,"decimal(37,2)",,,,NO,NO,NO
Pie_Fac_ML,Gar,decimal,YES,,,37.0,2.0,"decimal(37,2)",,,,NO,NO,NO
Pie_Fac_ML,Total_Fac,decimal,YES,,,37.0,2.0,"decimal(37,2)",,,,NO,NO,NO
Recambios,ic_cod_fam,int,NO,,,10.0,0.0,int(11),,,,NO,NO,NO
Recambios,c_nombre,varchar,YES,,50.0,,,varchar(50),,,,NO,NO,NO
Recambios,c_cod_sub1,varchar,YES,,50.0,,,varchar(50),,,,NO,NO,NO
Recambios,c_cod_sub2,varchar,YES,,50.0,,,varchar(50),,,,NO,NO,NO
Recambios,c_cod_sub3,varchar,YES,,50.0,,,varchar(50),,,,NO,NO,NO
Recambios,c_cod_sub4,varchar,YES,,50.0,,,varchar(50),,,,NO,NO,NO
Recambios,c_exi,varchar,YES,,1.0,,,varchar(1),,,,NO,NO,NO
Recambios,c_cod_sub5,varchar,YES,,50.0,,,varchar(50),,,,NO,NO,NO
Recambios,c_dto_margen,varchar,YES,N,1.0,,,varchar(1),,,,NO,NO,NO
accesos_presencia,ic_codigo,bigint,NO,,,20.0,0.0,bigint(10) unsigned,PRI,auto_increment,,YES,NO,NO
accesos_presencia,ic_cod_usu,int,NO,0,,10.0,0.0,int(11),PRI,,,YES,NO,NO
accesos_presencia,ic_cod_ofi,int,NO,0,,10.0,0.0,int(11),PRI,,,YES,NO,NO
accesos_presencia,fecha,timestamp,NO,CURRENT_TIMESTAMP,,,,timestamp,,,,NO,NO,NO
accesos_presencia,c_acceso,varchar,YES,,1.0,,,varchar(1),,,,NO,NO,NO
accesos_presencia,c_tipo,varchar,NO,A,1.0,,,varchar(1),,,,NO,NO,NO
accesos_presencia,c_modificado,varchar,YES,N,1.0,,,varchar(1),,,,NO,NO,NO
accesos_presencia,i_usu_mod,int,YES,,,10.0,0.0,int(11),,,,NO,NO,NO
accesos_presencia,f_fec_mod,timestamp,YES,,,,,timestamp,,,,NO,NO,NO
accesos_presencia,i_usu_crea,int,YES,,,10.0,0.0,int(11),,,,NO,NO,NO
accesos_presencia,fecha_crea,datetime,YES,,,,,datetime,,,,NO,NO,NO
agenda,ic_ano,int,NO,,,10.0,0.0,int(10) unsigned,PRI,,,YES,NO,NO
agenda,ic_cod_age,int,NO,,,10.0,0.0,int(10) unsigned,PRI,,,YES,NO,NO
agenda,ic_cod_ofi,int,NO,,,10.0,0.0,int(10) unsigned,PRI,,,YES,NO,NO
agenda,c_nombre,varchar,YES,,250.0,,,varchar(250),,,,NO,NO,NO
agenda,i_ano_avi,int,YES,0,,10.0,0.0,int(10) unsigned,MUL,,,NO,YES,NO
agenda,i_cod_avi,int,YES,0,,10.0,0.0,int(10) unsigned,,,,NO,NO,NO
agenda,i_ofi_avi,int,YES,0,,10.0,0.0,int(10) unsigned,,,,NO,NO,NO
agenda,fecha_ini,datetime,YES,,,,,datetime,,,,NO,NO,NO
agenda,fecha_fin,datetime,YES,,,,,datetime,,,,NO,NO,NO
agenda,i_ano_pad,int,YES,0,,10.0,0.0,int(11),,,,NO,NO,NO
agenda,i_age_pad,int,YES,0,,10.0,0.0,int(11),,,,NO,NO,NO
agenda,i_cod_usu,int,YES,0,,10.0,0.0,int(11),,,,NO,NO,NO
